A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3CH2NH3,Ge,F,1.397050776,0.54887218,2.74,5.101102175,-13.718,2.01,1.56,-5.993,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,4.5073
(CH3)2CHNH3,Ge,F,1.455404249,0.54887218,2.91,6.934047795,-13.349,2.01,1.56,-5.75,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,5.1078
CH3C(NH2)2,Ge,F,1.486297263,0.54887218,3,6.627609609,-12.487,2.01,1.56,-6.831,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,3.8145
(CH3)4N,Ge,F,1.390185662,0.54887218,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,5.0916
(CH2)3NH2,Ge,F,1.314669404,0.54887218,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,4.2387
C3H5N2,Ge,F,1.342129861,0.54887218,2.58,5.559204981,-11.781,2.01,1.56,-6.765,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,3.389
CH3C(NH2)2,Ge,Cl,1.339048668,0.403314917,3,6.627609609,-12.487,2.01,1.56,-6.831,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.7574
(CH3)4N,Ge,Cl,1.261099889,0.403314917,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.5083
(CH2)3NH2,Ge,Cl,1.19985442,0.403314917,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.1592
HC(NH2)2,Ge,Br,1.180263735,0.37244898,2.53,2.502999555,-13.03,2.01,1.56,-7.412,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.9287
(CH3)4N,Ge,Br,1.23020808,0.37244898,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,2.6041
(CH2)3NH2,Ge,Br,1.172377786,0.37244898,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,2.8952
HC(NH2)2,Ge,I,1.141506852,0.331818182,2.53,2.502999555,-13.03,2.01,1.56,-7.412,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.4596
(CH3)4N,Ge,I,1.187360192,0.331818182,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.9256
(CH2)3NH2,Ge,I,1.13426685,0.331818182,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.6271
CH3CH2NH3,Sn,F,1.174663102,0.842105263,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.2316
(CH3)2CHNH3,Sn,F,1.223727654,0.842105263,2.91,6.934047795,-13.349,1.96,1.88,-5.75,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,4.4386
CH3C(NH2)2,Sn,F,1.249703005,0.842105263,3,6.627609609,-12.487,1.96,1.88,-6.831,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.368
(CH3)4N,Sn,F,1.168890802,0.842105263,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,4.4999
(CH2)3NH2,Sn,F,1.105395499,0.842105263,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.6343
CH3CH2NH3,Sn,Cl,1.098066845,0.61878453,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,3.1242
(CH3)4N,Sn,Cl,1.093240177,0.61878453,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.9327
(CH2)3NH2,Sn,Cl,1.040146835,0.61878453,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.0435
CH3CH2NH3,Sn,Br,1.079026582,0.571428571,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.5689
CH3C(NH2)2,Sn,Br,1.138717414,0.571428571,3,6.627609609,-12.487,1.96,1.88,-6.831,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.7504
(CH3)4N,Sn,Br,1.074434979,0.571428571,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.2126
NH2NH3,Sn,Br,0.948165911,0.571428571,2.17,2.603313579,-12.982,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,1.34
(CH2)3NH2,Sn,Br,1.023927352,0.571428571,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,1.4384
CH3CH2NH3,Sn,I,1.052140813,0.509090909,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,10,20,0,0,2.0493
C(NH2)3,Sn,I,1.060660172,0.509090909,2.78,5.961080733,-12.182,1.96,1.88,-5.848,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,10,20,0,0,1.0856
(CH3)4N,Sn,I,1.047881134,0.509090909,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,10,20,0,0,1.546
NH2NH3,Sn,I,0.93073995,0.509090909,2.17,2.603313579,-12.982,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,10,20,0,0,1.0554
(CH2)3NH2,Sn,I,1.00102466,0.509090909,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,10,20,0,0,1.0994
(CH3)4N,Pb,F,1.136421613,0.894736842,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.401,12,0,14,0,4.9344
(CH3)3NH,Pb,F,1.175705323,0.894736842,2.86,6.683884325,-14.597,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.401,12,0,14,0,4.4454
C3H5N2,Pb,F,1.097137903,0.894736842,2.58,5.559204981,-11.781,1.8,2.09,-6.765,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.401,12,0,14,0,3.7647
CH3CH2NH3,Pb,Cl,1.072445285,0.657458564,2.74,5.101102175,-13.718,1.8,2.09,-5.993,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.4288
CH3C(NH2)2,Pb,Cl,1.133727873,0.657458564,3,6.627609609,-12.487,1.8,2.09,-6.831,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.4462
(CH3)4N,Pb,Cl,1.06773124,0.657458564,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.9253
(CH3)3NH,Pb,Cl,1.100729556,0.657458564,2.86,6.683884325,-14.597,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.1506
(CH2)3NH2,Pb,Cl,1.015876742,0.657458564,2.5,5.406571467,-13.364,1.8,2.09,-5.821,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.4437
CH3CH2NH3,Pb,Br,1.055048213,0.607142857,2.74,5.101102175,-13.718,1.8,2.09,-5.993,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.8135
CH3C(NH2)2,Pb,Br,1.113412582,0.607142857,3,6.627609609,-12.487,1.8,2.09,-6.831,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.9395
C(NH2)3,Pb,Br,1.064027347,0.607142857,2.78,5.961080733,-12.182,1.8,2.09,-5.848,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,1.913
(CH3)4N,Pb,Br,1.050558646,0.607142857,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.2969
NH2NH3,Pb,Br,0.927095558,0.607142857,2.17,2.603313579,-12.982,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.3859
(CH2)3NH2,Pb,Br,1.001173411,0.607142857,2.5,5.406571467,-13.364,1.8,2.09,-5.821,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,1.9129
CH3CH2NH3,Pb,I,1.030415191,0.540909091,2.74,5.101102175,-13.718,1.8,2.09,-5.993,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.8327
(CH3)2CHNH3,Pb,I,1.065874824,0.540909091,2.91,6.934047795,-13.349,1.8,2.09,-5.75,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.6849
C(NH2)3,Pb,I,1.038758634,0.540909091,2.78,5.961080733,-12.182,1.8,2.09,-5.848,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.5862
(CH3)4N,Pb,I,1.02624347,0.540909091,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.7965
NH2NH3,Pb,I,0.911521131,0.540909091,2.17,2.603313579,-12.982,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.8533
(CH3)3NH,Pb,I,1.05544552,0.540909091,2.86,6.683884325,-14.597,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.7386
(CH2)3NH2,Pb,I,0.980354534,0.540909091,2.5,5.406571467,-13.364,1.8,2.09,-5.821,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,12,20,14,0,1.5501
CH3NH3,Mg,I,1.058238573,0.327272727,2.17,2.96816307,-15.735,1.31,2.03,-6.382,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.059,4,20,0,0,1.774819
CH3NH3,Si,I,1.084230398,0.295454545,2.17,2.96816307,-15.735,1.98,1.42,-6.382,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.059,6,20,0,0,0.468143
CH3NH3,P,I,1.091892803,0.286363636,2.17,2.96816307,-15.735,2.32,1.24,-6.382,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.059,6,20,0,0,0
CH3NH3,Ca,I,0.965642698,0.454545455,2.17,2.96816307,-15.735,1.17,3,-6.382,1,11.87172,25,0.02455,24,18,6.11,0,0,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,4.000815
CH3NH3,Sc,I,0.984094469,0.427272727,2.17,2.96816307,-15.735,1.5,2.75,-6.382,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
CH3NH3,Ti,I,1.009822429,0.390909091,2.17,2.96816307,-15.735,1.86,2.58,-6.382,0.86,13.5755,14.6,0.079,24,20,6.83,2,5,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
CH3NH3,V,I,1.033463757,0.359090909,2.17,2.96816307,-15.735,2.22,2.43,-6.382,0.79,14.618,12.4,0.525,24,21,6.75,3,3,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
CH3NH3,Ni,I,1.069223749,0.313636364,2.17,2.96816307,-15.735,1.76,2.18,-6.382,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,6,20,0,0,0
CH3NH3,As,I,1.061875132,0.322727273,2.17,2.96816307,-15.735,2.27,1.415,-6.382,0.71,18.5892,4.31,0.804,24,31,9.81,3,10,10.45,2.66,4.7,54,1.585,2.2,10,13,3.059,8,20,0,0,0
CH3NH3,Sr,I,0.914217939,0.536363636,2.17,2.96816307,-15.735,1.13,3.21,-6.382,1.18,11.0301,27.6,0.048,24,36,5.7,0,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,4.254858
CH3NH3,Y,I,0.923783747,0.520454545,2.17,2.96816307,-15.735,1.41,2.94,-6.382,1.145,12.224,22.7,0.307,24,37,6.22,1,11,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Zr,I,0.93073995,0.509090909,2.17,2.96816307,-15.735,1.7,2.825,-6.382,1.12,13.1,17.9,0.426,24,38,6.63,2,12,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Nb,I,0.968669791,0.45,2.17,2.96816307,-15.735,2.03,2.79,-6.382,0.99,14,15.7,0.916,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Mo,I,0.996792463,0.409090909,2.17,2.96816307,-15.735,1.94,2.72,-6.382,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Rh,I,1.016465998,0.381818182,2.17,2.96816307,-15.735,1.99,2.52,-6.382,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Pd,I,1.009822429,0.390909091,2.17,2.96816307,-15.735,2.08,2.45,-6.382,0.86,19.43,4.8,0.562,24,44,8.34,8,18,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Ag,I,0.984094469,0.427272727,2.17,2.96816307,-15.735,1.07,2.375,-6.382,0.94,21.47746,7.2,1.302,24,45,7.58,9,19,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0
CH3NH3,Cd,I,0.98097036,0.431818182,2.17,2.96816307,-15.735,1.4,2.215,-6.382,0.95,16.90831,7.36,0.3983,24,46,8.99,10,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,8,20,0,0,0.956444
CH3NH3,In,I,0.970190466,0.447727273,2.17,2.96816307,-15.735,1.63,2.05,-6.382,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.059,9,20,0,0,0
CH3NH3,Sb,I,0.914217939,0.536363636,2.17,2.96816307,-15.735,2.14,1.765,-6.382,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.059,10,20,0,0,0
CH3NH3,Ba,I,0.870438488,0.613636364,2.17,2.96816307,-15.735,1.08,3.402,-6.382,1.35,10.00383,39.7,0.14462,24,54,5.21,0,20,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,0,0,4.052364
CH3NH3,Hf,I,0.942090437,0.490909091,2.17,2.96816307,-15.735,1.73,2.91,-6.382,1.08,15,16.2,0.014,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
CH3NH3,Ta,I,0.971715923,0.445454545,2.17,2.96816307,-15.735,1.94,2.79,-6.382,0.98,15.5,13.1,0.322,24,71,7.89,3,23,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
CH3NH3,W,I,0.993587342,0.413636364,2.17,2.96816307,-15.735,1.79,2.735,-6.382,0.91,16.1,11.1,0.81626,24,72,7.98,4,24,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
CH3NH3,Re,I,1.013133323,0.386363636,2.17,2.96816307,-15.735,2.06,2.68,-6.382,0.85,17.833,9.7,0.15,24,73,7.88,5,25,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0
CH3NH3,Au,I,1.028305036,0.365909091,2.17,2.96816307,-15.735,1.19,2.66,-6.382,0.805,20.2,5.8,2.30863,24,77,9.23,9,29,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,10,20,14,0,0.516939
CH3NH3,Tl,I,0.858349065,0.636363636,2.17,2.96816307,-15.735,1.69,2.235,-6.382,1.4,20.4283,7.5,0.377,24,79,6.11,1,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.059,11,20,14,0,0
CH3NH3,Bi,I,0.911521131,0.540909091,2.17,2.96816307,-15.735,2.14,1.997,-6.382,1.19,16.703,7.4,0.942362,24,81,7.29,3,30,10.45,2.66,4.7,54,1.585,2.2,10,25,3.059,12,20,14,0,0
CH3NH3,Mg,Br,1.089683211,0.367346939,2.17,2.96816307,-15.735,1.31,2.03,-6.382,0.72,15.03527,10.6,0.2623,18,10,7.65,0,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,4,10,0,0,2.707044
CH3NH3,Si,Br,1.118908432,0.331632653,2.17,2.96816307,-15.735,1.98,1.42,-6.382,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0,1.323962
CH3NH3,Ca,Br,0.98660507,0.510204082,2.17,2.96816307,-15.735,1.17,3,-6.382,1,11.87172,25,0.02455,18,18,6.11,0,0,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,4.982655
CH3NH3,Sc,Br,1.007017588,0.479591837,2.17,2.96816307,-15.735,1.5,2.75,-6.382,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0
CH3NH3,Ti,Br,1.035585463,0.43877551,2.17,2.96816307,-15.735,1.86,2.58,-6.382,0.86,13.5755,14.6,0.079,18,20,6.83,2,5,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0,0
CH3NH3,Ge,Br,1.085632344,0.37244898,2.17,2.96816307,-15.735,1.99,1.56,-6.382,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.485832
CH3NH3,As,Br,1.093764422,0.362244898,2.17,2.96816307,-15.735,2.27,1.415,-6.382,0.71,18.5892,4.31,0.804,18,31,9.81,3,10,11.81,2.96,3.04,36,1.2,1.96,8,13,3.364,8,10,0,0,0
CH3NH3,Sr,Br,0.930048091,0.602040816,2.17,2.96816307,-15.735,1.13,3.21,-6.382,1.18,11.0301,27.6,0.048,18,36,5.7,0,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,4.882422
CH3NH3,Y,Br,0.940531725,0.584183673,2.17,2.96816307,-15.735,1.41,2.94,-6.382,1.145,12.224,22.7,0.307,18,37,6.22,1,11,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Zr,Br,0.948165911,0.571428571,2.17,2.96816307,-15.735,1.7,2.825,-6.382,1.12,13.1,17.9,0.426,18,38,6.63,2,12,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Nb,Br,0.989949494,0.505102041,2.17,2.96816307,-15.735,2.03,2.79,-6.382,0.99,14,15.7,0.916,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Mo,Br,1.02110175,0.459183673,2.17,2.96816307,-15.735,1.94,2.72,-6.382,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Rh,Br,1.042982502,0.428571429,2.17,2.96816307,-15.735,1.99,2.52,-6.382,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Pd,Br,1.035585463,0.43877551,2.17,2.96816307,-15.735,2.08,2.45,-6.382,0.86,19.43,4.8,0.562,18,44,8.34,8,18,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Ag,Br,1.007017588,0.479591837,2.17,2.96816307,-15.735,1.07,2.375,-6.382,0.94,21.47746,7.2,1.302,18,45,7.58,9,19,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,0
CH3NH3,Cd,Br,1.003557047,0.484693878,2.17,2.96816307,-15.735,1.4,2.215,-6.382,0.95,16.90831,7.36,0.3983,18,46,8.99,10,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0,1.544658
CH3NH3,In,Br,0.991630223,0.50255102,2.17,2.96816307,-15.735,1.63,2.05,-6.382,0.985,18.8703,9.1,0.3,18,47,5.79,1,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,9,10,0,0,1.073879
